Region	 Date	 Frequency	 Estimated Unemployment Rate (%)	 Estimated Employed	 Estimated Labour Participation Rate (%)	Area
Andhra Pradesh	 31-07-2020	Monthly	14.39196078	1959775.056	40.78073529	Urban
Andhra Pradesh	 31-08-2020	Monthly	14.88235294	1774015.735	41.09	Urban
Andhra Pradesh	 30-09-2020	Monthly	15.3727451	1588256.414	41.39926471	Urban
Andhra Pradesh	 31-10-2020	Monthly	15.86313725	1402497.093	41.70852941	Urban
Andhra Pradesh	 30-11-2020	Monthly	16.35352941	1216737.772	42.01779412	Urban
Andhra Pradesh	 31-12-2020	Monthly	16.84392157	1030978.451	42.32705882	Urban
Andhra Pradesh	 31-01-2021	Monthly	17.33431373	845219.1299	42.63632353	Urban
Andhra Pradesh	 29-02-2021	Monthly	17.82470588	659459.8088	42.94558824	Urban
Andhra Pradesh	 31-03-2021	Monthly	18.31509804	473700.4877	43.25485294	Urban
Andhra Pradesh	 30-04-2021	Monthly	18.8054902	287941.1667	43.56411765	Urban
Andhra Pradesh	 31-05-2021	Monthly	19.29588235	102181.8456	43.87338235	Urban
Andhra Pradesh	 30-06-2021	Monthly	19.78627451	-83577.47549	44.18264706	Urban
Assam	 31-05-2020	Monthly	20.27666667	-269336.7966	44.49191176	Urban
Assam	 30-06-2020	Monthly	20.76705882	-455096.1176	44.80117647	Urban
Assam	 31-07-2020	Monthly	21.25745098	-640855.4387	45.11044118	Urban
Andhra Pradesh	 31-05-2021	Monthly	21.74784314	-826614.7598	45.41970588	Urban
Andhra Pradesh	 30-06-2021	Monthly	22.23823529	-1012374.081	45.72897059	Urban
Andhra Pradesh	 31-07-2021	Monthly	22.72862745	-1198133.402	46.03823529	Urban
Andhra Pradesh	 31-08-2021	Monthly	23.21901961	-1383892.723	46.3475	Urban
Andhra Pradesh	 30-09-2021	Monthly	23.70941176	-1569652.044	46.65676471	Urban
Andhra Pradesh	 31-10-2021	Monthly	24.19980392	-1755411.365	46.96602941	Urban
Andhra Pradesh	 30-11-2021	Monthly	24.69019608	-1941170.686	47.27529412	Urban
Andhra Pradesh	 31-12-2021	Monthly	25.18058824	-2126930.007	47.58455882	Urban
Andhra Pradesh	 31-01-2022	Monthly	25.67098039	-2312689.328	47.89382353	Urban
Andhra Pradesh	 29-02-2022	Monthly	26.16137255	-2498448.65	48.20308824	Urban
Andhra Pradesh	 31-03-2022	Monthly	26.65176471	-2684207.971	48.51235294	Urban
Andhra Pradesh	 30-04-2022	Monthly	27.14215686	-2869967.292	48.82161765	Urban
Andhra Pradesh	 31-05-2022	Monthly	27.63254902	-3055726.613	49.13088235	Urban
Andhra Pradesh	 30-06-2022	Monthly	28.12294118	-3241485.934	49.44014706	Urban
Assam	 31-05-2021	Monthly	28.61333333	-3427245.255	49.74941176	Urban
Assam	 30-06-2021	Monthly	29.10372549	-3613004.576	50.05867647	Urban
Assam	 31-07-2021	Monthly	29.59411765	-3798763.897	50.36794118	Urban
Andhra Pradesh	 31-05-2022	Monthly	30.0845098	-3984523.218	50.67720588	Urban
Andhra Pradesh	 30-06-2022	Monthly	30.57490196	-4170282.539	50.98647059	Urban
Andhra Pradesh	 31-07-2022	Monthly	31.06529412	-4356041.86	51.29573529	Urban
Andhra Pradesh	 31-08-2022	Monthly	31.55568627	-4541801.181	51.605	Urban
Andhra Pradesh	 30-09-2022	Monthly	32.04607843	-4727560.502	51.91426471	Urban
Andhra Pradesh	 31-10-2022	Monthly	32.53647059	-4913319.824	52.22352941	Urban
Andhra Pradesh	 30-11-2022	Monthly	33.02686275	-5099079.145	52.53279412	Urban
Andhra Pradesh	 31-12-2022	Monthly	33.5172549	-5284838.466	52.84205882	Urban
Andhra Pradesh	 31-01-2023	Monthly	34.00764706	-5470597.787	53.15132353	Urban
Andhra Pradesh	 29-02-2023	Monthly	34.49803922	-5656357.108	53.46058824	Urban
Andhra Pradesh	 31-03-2023	Monthly	34.98843137	-5842116.429	53.76985294	Urban
Andhra Pradesh	 30-04-2023	Monthly	35.47882353	-6027875.75	54.07911765	Urban
Andhra Pradesh	 31-05-2023	Monthly	35.96921569	-6213635.071	54.38838235	Urban
Andhra Pradesh	 30-06-2023	Monthly	36.45960784	-6399394.392	54.69764706	Urban
Assam	 31-05-2022	Monthly	36.95	-6585153.713	55.00691176	Urban
Assam	 30-06-2022	Monthly	37.44039216	-6770913.034	55.31617647	Urban
Assam	 31-07-2022	Monthly	37.93078431	-6956672.355	55.62544118	Urban
Andhra Pradesh	 31-05-2023	Monthly	38.42117647	-7142431.676	55.93470588	Urban
Andhra Pradesh	 30-06-2023	Monthly	38.91156863	-7328190.998	56.24397059	Urban
Andhra Pradesh	 31-07-2023	Monthly	39.40196078	-7513950.319	56.55323529	Urban
Andhra Pradesh	 31-08-2023	Monthly	39.89235294	-7699709.64	56.8625	Urban
Andhra Pradesh	 30-09-2023	Monthly	40.3827451	-7885468.961	57.17176471	Urban
Andhra Pradesh	 31-10-2023	Monthly	40.87313725	-8071228.282	57.48102941	Urban
Andhra Pradesh	 30-11-2023	Monthly	41.36352941	-8256987.603	57.79029412	Urban
Andhra Pradesh	 31-12-2023	Monthly	41.85392157	-8442746.924	58.09955882	Urban
Andhra Pradesh	 31-01-2024	Monthly	42.34431373	-8628506.245	58.40882353	Urban
Andhra Pradesh	 29-02-2024	Monthly	42.83470588	-8814265.566	58.71808824	Urban
Andhra Pradesh	 31-03-2024	Monthly	43.32509804	-9000024.887	59.02735294	Urban
Andhra Pradesh	 30-04-2024	Monthly	43.8154902	-9185784.208	59.33661765	Urban
Andhra Pradesh	 31-05-2024	Monthly	44.30588235	-9371543.529	59.64588235	Urban
Andhra Pradesh	 30-06-2024	Monthly	44.79627451	-9557302.85	59.95514706	Urban
Assam	 31-05-2023	Monthly	45.28666667	-9743062.172	60.26441176	Urban
Assam	 30-06-2023	Monthly	45.77705882	-9928821.493	60.57367647	Urban
Assam	 31-07-2023	Monthly	46.26745098	-10114580.81	60.88294118	Urban
Andhra Pradesh	 31-05-2024	Monthly	46.75784314	-10300340.13	61.19220588	Urban
Andhra Pradesh	 30-06-2024	Monthly	47.24823529	-10486099.46	61.50147059	Urban
Andhra Pradesh	 31-07-2024	Monthly	47.73862745	-10671858.78	61.81073529	Urban
Andhra Pradesh	 31-08-2024	Monthly	48.22901961	-10857618.1	62.12	Urban
Andhra Pradesh	 30-09-2024	Monthly	48.71941176	-11043377.42	62.42926471	Urban
Andhra Pradesh	 31-10-2024	Monthly	49.20980392	-11229136.74	62.73852941	Urban
Andhra Pradesh	 30-11-2024	Monthly	49.70019608	-11414896.06	63.04779412	Urban
Andhra Pradesh	 31-12-2024	Monthly	50.19058824	-11600655.38	63.35705882	Urban
Andhra Pradesh	 31-01-2025	Monthly	50.68098039	-11786414.7	63.66632353	Urban
Andhra Pradesh	 29-02-2025	Monthly	51.17137255	-11972174.02	63.97558824	Urban
Andhra Pradesh	 31-03-2025	Monthly	51.66176471	-12157933.35	64.28485294	Urban
Andhra Pradesh	 30-04-2025	Monthly	52.15215686	-12343692.67	64.59411765	Urban
Andhra Pradesh	 31-05-2025	Monthly	52.64254902	-12529451.99	64.90338235	Urban
Andhra Pradesh	 30-06-2025	Monthly	53.13294118	-12715211.31	65.21264706	Urban
Assam	 31-05-2024	Monthly	53.62333333	-12900970.63	65.52191176	Urban
Assam	 30-06-2024	Monthly	54.11372549	-13086729.95	65.83117647	Urban
Assam	 31-07-2024	Monthly	54.60411765	-13272489.27	66.14044118	Urban
Andhra Pradesh	 31-05-2025	Monthly	55.0945098	-13458248.59	66.44970588	Urban
Andhra Pradesh	 30-06-2025	Monthly	55.58490196	-13644007.91	66.75897059	Urban
Andhra Pradesh	 31-07-2025	Monthly	56.07529412	-13829767.24	67.06823529	Urban
Andhra Pradesh	 31-08-2025	Monthly	56.56568627	-14015526.56	67.3775	Urban
Andhra Pradesh	 30-09-2025	Monthly	57.05607843	-14201285.88	67.68676471	Urban
Andhra Pradesh	 31-10-2025	Monthly	57.54647059	-14387045.2	67.99602941	Urban
Andhra Pradesh	 30-11-2025	Monthly	58.03686275	-14572804.52	68.30529412	Urban
Andhra Pradesh	 31-12-2025	Monthly	58.5272549	-14758563.84	68.61455882	Urban
Andhra Pradesh	 31-01-2026	Monthly	59.01764706	-14944323.16	68.92382353	Urban
Andhra Pradesh	 29-02-2026	Monthly	59.50803922	-15130082.48	69.23308824	Urban
Andhra Pradesh	 31-03-2026	Monthly	59.99843137	-15315841.8	69.54235294	Urban
Andhra Pradesh	 30-04-2026	Monthly	60.48882353	-15501601.13	69.85161765	Urban
Andhra Pradesh	 31-05-2026	Monthly	60.97921569	-15687360.45	70.16088235	Urban
Andhra Pradesh	 30-06-2026	Monthly	61.46960784	-15873119.77	70.47014706	Urban
Assam	 31-05-2025	Monthly	61.96	-16058879.09	70.77941176	Urban
Assam	 30-06-2025	Monthly	62.45039216	-16244638.41	71.08867647	Urban
Assam	 31-07-2025	Monthly	62.94078431	-16430397.73	71.39794118	Urban
Andhra Pradesh	 31-05-2026	Monthly	63.43117647	-16616157.05	71.70720588	Urban
Andhra Pradesh	 30-06-2026	Monthly	63.92156863	-16801916.37	72.01647059	Urban
Andhra Pradesh	 31-07-2026	Monthly	64.41196078	-16987675.69	72.32573529	Urban
Andhra Pradesh	 31-08-2026	Monthly	64.90235294	-17173435.01	72.635	Urban
Andhra Pradesh	 30-09-2026	Monthly	65.3927451	-17359194.34	72.94426471	Urban
Andhra Pradesh	 31-10-2026	Monthly	65.88313725	-17544953.66	73.25352941	Urban
Andhra Pradesh	 30-11-2026	Monthly	66.37352941	-17730712.98	73.56279412	Urban
Andhra Pradesh	 31-12-2026	Monthly	66.86392157	-17916472.3	73.87205882	Urban
Andhra Pradesh	 31-01-2027	Monthly	67.35431373	-18102231.62	74.18132353	Urban
Andhra Pradesh	 29-02-2027	Monthly	67.84470588	-18287990.94	74.49058824	Urban
Andhra Pradesh	 31-03-2027	Monthly	68.33509804	-18473750.26	74.79985294	Urban
Andhra Pradesh	 30-04-2027	Monthly	68.8254902	-18659509.58	75.10911765	Urban
Andhra Pradesh	 31-05-2027	Monthly	69.31588235	-18845268.9	75.41838235	Urban
Andhra Pradesh	 30-06-2027	Monthly	69.80627451	-19031028.23	75.72764706	Urban
Assam	 31-05-2026	Monthly	70.29666667	-19216787.55	76.03691176	Urban
Assam	 30-06-2026	Monthly	70.78705882	-19402546.87	76.34617647	Urban
Assam	 31-07-2026	Monthly	71.27745098	-19588306.19	76.65544118	Urban
Andhra Pradesh	 31-05-2027	Monthly	71.76784314	-19774065.51	76.96470588	Urban
Andhra Pradesh	 30-06-2027	Monthly	72.25823529	-19959824.83	77.27397059	Urban
Andhra Pradesh	 31-07-2027	Monthly	72.74862745	-20145584.15	77.58323529	Urban
Andhra Pradesh	 31-08-2027	Monthly	73.23901961	-20331343.47	77.8925	Urban
Andhra Pradesh	 30-09-2027	Monthly	73.72941176	-20517102.79	78.20176471	Urban
Andhra Pradesh	 31-10-2027	Monthly	74.21980392	-20702862.12	78.51102941	Urban
Andhra Pradesh	 30-11-2027	Monthly	74.71019608	-20888621.44	78.82029412	Urban
Andhra Pradesh	 31-12-2027	Monthly	75.20058824	-21074380.76	79.12955882	Urban
Andhra Pradesh	 31-01-2028	Monthly	75.69098039	-21260140.08	79.43882353	Urban
Andhra Pradesh	 29-02-2028	Monthly	76.18137255	-21445899.4	79.74808824	Urban
Andhra Pradesh	 31-03-2028	Monthly	76.67176471	-21631658.72	80.05735294	Urban
Andhra Pradesh	 30-04-2028	Monthly	77.16215686	-21817418.04	80.36661765	Urban
Andhra Pradesh	 31-05-2028	Monthly	77.65254902	-22003177.36	80.67588235	Urban
Andhra Pradesh	 30-06-2028	Monthly	78.14294118	-22188936.68	80.98514706	Urban
Assam	 31-05-2027	Monthly	78.63333333	-22374696	81.29441176	Urban
Assam	 30-06-2027	Monthly	79.12372549	-22560455.33	81.60367647	Urban
Assam	 31-07-2027	Monthly	79.61411765	-22746214.65	81.91294118	Urban
Andhra Pradesh	 31-05-2028	Monthly	80.1045098	-22931973.97	82.22220588	Urban
Andhra Pradesh	 30-06-2028	Monthly	80.59490196	-23117733.29	82.53147059	Urban
Andhra Pradesh	 31-07-2028	Monthly	81.08529412	-23303492.61	82.84073529	Urban
Andhra Pradesh	 31-08-2028	Monthly	81.57568627	-23489251.93	83.15	Urban
Andhra Pradesh	 30-09-2028	Monthly	82.06607843	-23675011.25	83.45926471	Urban
Andhra Pradesh	 31-10-2028	Monthly	82.55647059	-23860770.57	83.76852941	Urban
Andhra Pradesh	 30-11-2028	Monthly	83.04686275	-24046529.89	84.07779412	Urban
Andhra Pradesh	 31-12-2028	Monthly	83.5372549	-24232289.22	84.38705882	Urban
Andhra Pradesh	 31-01-2029	Monthly	84.02764706	-24418048.54	84.69632353	Urban
Andhra Pradesh	 29-02-2029	Monthly	84.51803922	-24603807.86	85.00558824	Urban
Andhra Pradesh	 31-03-2029	Monthly	85.00843137	-24789567.18	85.31485294	Urban
Andhra Pradesh	 30-04-2029	Monthly	85.49882353	-24975326.5	85.62411765	Urban
Andhra Pradesh	 31-05-2029	Monthly	85.98921569	-25161085.82	85.93338235	Urban
Andhra Pradesh	 30-06-2029	Monthly	86.47960784	-25346845.14	86.24264706	Urban
Assam	 31-05-2028	Monthly	86.97	-25532604.46	86.55191176	Urban
Assam	 30-06-2028	Monthly	87.46039216	-25718363.78	86.86117647	Urban
Assam	 31-07-2028	Monthly	87.95078431	-25904123.11	87.17044118	Urban
Andhra Pradesh	 31-05-2029	Monthly	88.44117647	-26089882.43	87.47970588	Urban
Andhra Pradesh	 30-06-2029	Monthly	88.93156863	-26275641.75	87.78897059	Urban
Andhra Pradesh	 31-07-2029	Monthly	89.42196078	-26461401.07	88.09823529	Urban
Andhra Pradesh	 31-08-2029	Monthly	89.91235294	-26647160.39	88.4075	Urban
Andhra Pradesh	 30-09-2029	Monthly	90.4027451	-26832919.71	88.71676471	Urban
Andhra Pradesh	 31-10-2029	Monthly	90.89313725	-27018679.03	89.02602941	Urban
Andhra Pradesh	 30-11-2029	Monthly	91.38352941	-27204438.35	89.33529412	Urban
Andhra Pradesh	 31-12-2029	Monthly	91.87392157	-27390197.67	89.64455882	Urban
Andhra Pradesh	 31-01-2030	Monthly	92.36431373	-27575957	89.95382353	Urban
Andhra Pradesh	 29-02-2030	Monthly	92.85470588	-27761716.32	90.26308824	Urban
Andhra Pradesh	 31-03-2030	Monthly	93.34509804	-27947475.64	90.57235294	Urban
Andhra Pradesh	 30-04-2030	Monthly	93.8354902	-28133234.96	90.88161765	Urban
Andhra Pradesh	 31-05-2030	Monthly	94.32588235	-28318994.28	91.19088235	Urban
Andhra Pradesh	 30-06-2030	Monthly	94.81627451	-28504753.6	91.50014706	Urban
Assam	 31-05-2029	Monthly	95.30666667	-28690512.92	91.80941176	Urban
Assam	 30-06-2029	Monthly	95.79705882	-28876272.24	92.11867647	Urban
Assam	 31-07-2029	Monthly	96.28745098	-29062031.56	92.42794118	Urban
Andhra Pradesh	 31-05-2030	Monthly	96.77784314	-29247790.88	92.73720588	Urban
Andhra Pradesh	 30-06-2030	Monthly	97.26823529	-29433550.21	93.04647059	Urban
Andhra Pradesh	 31-07-2030	Monthly	97.75862745	-29619309.53	93.35573529	Urban
Andhra Pradesh	 31-08-2030	Monthly	98.24901961	-29805068.85	93.665	Urban
Andhra Pradesh	 30-09-2030	Monthly	98.73941176	-29990828.17	93.97426471	Urban
Andhra Pradesh	 31-10-2030	Monthly	99.22980392	-30176587.49	94.28352941	Urban
Andhra Pradesh	 30-11-2030	Monthly	99.72019608	-30362346.81	94.59279412	Urban
Andhra Pradesh	 31-12-2030	Monthly	100.2105882	-30548106.13	94.90205882	Urban
Andhra Pradesh	 31-01-2031	Monthly	100.7009804	-30733865.45	95.21132353	Urban
Andhra Pradesh	 29-02-2031	Monthly	101.1913725	-30919624.77	95.52058824	Urban
Andhra Pradesh	 31-03-2031	Monthly	101.6817647	-31105384.1	95.82985294	Urban
Andhra Pradesh	 30-04-2031	Monthly	102.1721569	-31291143.42	96.13911765	Urban
Andhra Pradesh	 31-05-2031	Monthly	102.662549	-31476902.74	96.44838235	Urban
Andhra Pradesh	 30-06-2031	Monthly	103.1529412	-31662662.06	96.75764706	Urban
Assam	 31-05-2030	Monthly	103.6433333	-31848421.38	97.06691176	Urban
Assam	 30-06-2030	Monthly	104.1337255	-32034180.7	97.37617647	Urban
Assam	 31-07-2030	Monthly	104.6241176	-32219940.02	97.68544118	Urban
Andhra Pradesh	 31-05-2031	Monthly	105.1145098	-32405699.34	97.99470588	Urban
Andhra Pradesh	 30-06-2031	Monthly	105.604902	-32591458.66	98.30397059	Urban
Andhra Pradesh	 31-07-2031	Monthly	106.0952941	-32777217.99	98.61323529	Urban
Andhra Pradesh	 31-08-2031	Monthly	106.5856863	-32962977.31	98.9225	Urban
Andhra Pradesh	 30-09-2031	Monthly	107.0760784	-33148736.63	99.23176471	Urban
Andhra Pradesh	 31-10-2031	Monthly	107.5664706	-33334495.95	99.54102941	Urban
Andhra Pradesh	 30-11-2031	Monthly	108.0568627	-33520255.27	99.85029412	Urban
Andhra Pradesh	 31-12-2031	Monthly	108.5472549	-33706014.59	100.1595588	Urban
Andhra Pradesh	 31-01-2032	Monthly	109.0376471	-33891773.91	100.4688235	Urban
Andhra Pradesh	 29-02-2032	Monthly	109.5280392	-34077533.23	100.7780882	Urban
Andhra Pradesh	 31-03-2032	Monthly	110.0184314	-34263292.55	101.0873529	Urban
Andhra Pradesh	 30-04-2032	Monthly	110.5088235	-34449051.88	101.3966176	Urban
Andhra Pradesh	 31-05-2032	Monthly	110.9992157	-34634811.2	101.7058824	Urban
Andhra Pradesh	 30-06-2032	Monthly	111.4896078	-34820570.52	102.0151471	Urban
Assam	 31-05-2031	Monthly	111.98	-35006329.84	102.3244118	Urban
Assam	 30-06-2031	Monthly	112.4703922	-35192089.16	102.6336765	Urban
Assam	 31-07-2031	Monthly	112.9607843	-35377848.48	102.9429412	Urban
Andhra Pradesh	 31-05-2032	Monthly	113.4511765	-35563607.8	103.2522059	Urban
Andhra Pradesh	 30-06-2032	Monthly	113.9415686	-35749367.12	103.5614706	Urban
Andhra Pradesh	 31-07-2032	Monthly	114.4319608	-35935126.44	103.8707353	Urban
Andhra Pradesh	 31-08-2032	Monthly	114.9223529	-36120885.76	104.18	Urban
Andhra Pradesh	 30-09-2032	Monthly	115.4127451	-36306645.09	104.4892647	Urban
Andhra Pradesh	 31-10-2032	Monthly	115.9031373	-36492404.41	104.7985294	Urban
Andhra Pradesh	 30-11-2032	Monthly	116.3935294	-36678163.73	105.1077941	Urban
Andhra Pradesh	 31-12-2032	Monthly	116.8839216	-36863923.05	105.4170588	Urban
Andhra Pradesh	 31-01-2033	Monthly	117.3743137	-37049682.37	105.7263235	Urban
Andhra Pradesh	 29-02-2033	Monthly	117.8647059	-37235441.69	106.0355882	Urban
Andhra Pradesh	 31-03-2033	Monthly	118.355098	-37421201.01	106.3448529	Urban
Andhra Pradesh	 30-04-2033	Monthly	118.8454902	-37606960.33	106.6541176	Urban
Andhra Pradesh	 31-05-2033	Monthly	119.3358824	-37792719.65	106.9633824	Urban
Andhra Pradesh	 30-06-2033	Monthly	119.8262745	-37978478.98	107.2726471	Urban
Assam	 31-05-2032	Monthly	120.3166667	-38164238.3	107.5819118	Urban
Assam	 30-06-2032	Monthly	120.8070588	-38349997.62	107.8911765	Urban
Assam	 31-07-2032	Monthly	121.297451	-38535756.94	108.2004412	Urban
Andhra Pradesh	 31-05-2033	Monthly	121.7878431	-38721516.26	108.5097059	Urban
Andhra Pradesh	 30-06-2033	Monthly	122.2782353	-38907275.58	108.8189706	Urban
Andhra Pradesh	 31-07-2033	Monthly	122.7686275	-39093034.9	109.1282353	Urban
Andhra Pradesh	 31-08-2033	Monthly	123.2590196	-39278794.22	109.4375	Urban
Andhra Pradesh	 30-09-2033	Monthly	123.7494118	-39464553.54	109.7467647	Urban
Andhra Pradesh	 31-10-2033	Monthly	124.2398039	-39650312.87	110.0560294	Urban
Andhra Pradesh	 30-11-2033	Monthly	124.7301961	-39836072.19	110.3652941	Urban
Andhra Pradesh	 31-12-2033	Monthly	125.2205882	-40021831.51	110.6745588	Urban
Andhra Pradesh	 31-01-2034	Monthly	125.7109804	-40207590.83	110.9838235	Urban
Andhra Pradesh	 29-02-2034	Monthly	126.2013725	-40393350.15	111.2930882	Urban
Andhra Pradesh	 31-03-2034	Monthly	126.6917647	-40579109.47	111.6023529	Urban
Andhra Pradesh	 30-04-2034	Monthly	127.1821569	-40764868.79	111.9116176	Urban
Andhra Pradesh	 31-05-2034	Monthly	127.672549	-40950628.11	112.2208824	Urban
Andhra Pradesh	 30-06-2034	Monthly	128.1629412	-41136387.43	112.5301471	Urban
Assam	 31-05-2033	Monthly	128.6533333	-41322146.75	112.8394118	Urban
Assam	 30-06-2033	Monthly	129.1437255	-41507906.08	113.1486765	Urban
Assam	 31-07-2033	Monthly	129.6341176	-41693665.4	113.4579412	Urban
Andhra Pradesh	 31-05-2034	Monthly	130.1245098	-41879424.72	113.7672059	Urban
Andhra Pradesh	 30-06-2034	Monthly	130.614902	-42065184.04	114.0764706	Urban
Andhra Pradesh	 31-07-2034	Monthly	131.1052941	-42250943.36	114.3857353	Urban
Andhra Pradesh	 31-08-2034	Monthly	131.5956863	-42436702.68	114.695	Urban
Andhra Pradesh	 30-09-2034	Monthly	132.0860784	-42622462	115.0042647	Urban
Andhra Pradesh	 31-10-2034	Monthly	132.5764706	-42808221.32	115.3135294	Urban
Andhra Pradesh	 30-11-2034	Monthly	133.0668627	-42993980.64	115.6227941	Urban
Andhra Pradesh	 31-12-2034	Monthly	133.5572549	-43179739.97	115.9320588	Urban
Andhra Pradesh	 31-01-2035	Monthly	134.0476471	-43365499.29	116.2413235	Urban
Andhra Pradesh	 29-02-2035	Monthly	134.5380392	-43551258.61	116.5505882	Urban
Andhra Pradesh	 31-03-2035	Monthly	135.0284314	-43737017.93	116.8598529	Urban
Andhra Pradesh	 30-04-2035	Monthly	135.5188235	-43922777.25	117.1691176	Urban
Andhra Pradesh	 31-05-2035	Monthly	136.0092157	-44108536.57	117.4783824	Urban
Andhra Pradesh	 30-06-2035	Monthly	136.4996078	-44294295.89	117.7876471	Urban
Assam	 31-05-2034	Monthly	136.99	-44480055.21	118.0969118	Urban
Assam	 30-06-2034	Monthly	137.4803922	-44665814.53	118.4061765	Urban
Assam	 31-07-2034	Monthly	137.9707843	-44851573.86	118.7154412	Urban
Andhra Pradesh	 31-05-2035	Monthly	138.4611765	-45037333.18	119.0247059	Urban
Andhra Pradesh	 30-06-2035	Monthly	138.9515686	-45223092.5	119.3339706	Urban
Andhra Pradesh	 31-07-2035	Monthly	139.4419608	-45408851.82	119.6432353	Urban
Andhra Pradesh	 31-08-2035	Monthly	139.9323529	-45594611.14	119.9525	Urban
Andhra Pradesh	 30-09-2035	Monthly	140.4227451	-45780370.46	120.2617647	Urban
Andhra Pradesh	 31-10-2035	Monthly	140.9131373	-45966129.78	120.5710294	Urban
Andhra Pradesh	 30-11-2035	Monthly	141.4035294	-46151889.1	120.8802941	Urban
Andhra Pradesh	 31-12-2035	Monthly	141.8939216	-46337648.42	121.1895588	Urban
Andhra Pradesh	 31-01-2036	Monthly	142.3843137	-46523407.75	121.4988235	Urban
Andhra Pradesh	 29-02-2036	Monthly	142.8747059	-46709167.07	121.8080882	Urban
Andhra Pradesh	 31-03-2036	Monthly	143.365098	-46894926.39	122.1173529	Urban
Andhra Pradesh	 30-04-2036	Monthly	143.8554902	-47080685.71	122.4266176	Urban
Andhra Pradesh	 31-05-2036	Monthly	144.3458824	-47266445.03	122.7358824	Urban
Andhra Pradesh	 30-06-2036	Monthly	144.8362745	-47452204.35	123.0451471	Urban
Assam	 31-05-2035	Monthly	145.3266667	-47637963.67	123.3544118	Urban
Assam	 30-06-2035	Monthly	145.8170588	-47823722.99	123.6636765	Urban
Assam	 31-07-2035	Monthly	146.307451	-48009482.31	123.9729412	Urban
Andhra Pradesh	 31-05-2036	Monthly	146.7978431	-48195241.63	124.2822059	Urban
Andhra Pradesh	 30-06-2036	Monthly	147.2882353	-48381000.96	124.5914706	Urban
Andhra Pradesh	 31-07-2036	Monthly	147.7786275	-48566760.28	124.9007353	Urban
Andhra Pradesh	 31-08-2036	Monthly	148.2690196	-48752519.6	125.21	Urban
Andhra Pradesh	 30-09-2036	Monthly	148.7594118	-48938278.92	125.5192647	Urban
Andhra Pradesh	 31-10-2036	Monthly	149.2498039	-49124038.24	125.8285294	Urban
Andhra Pradesh	 30-11-2036	Monthly	149.7401961	-49309797.56	126.1377941	Urban
Andhra Pradesh	 31-12-2036	Monthly	150.2305882	-49495556.88	126.4470588	Urban
Andhra Pradesh	 31-01-2037	Monthly	150.7209804	-49681316.2	126.7563235	Urban
Andhra Pradesh	 29-02-2037	Monthly	151.2113725	-49867075.52	127.0655882	Urban
Andhra Pradesh	 31-03-2037	Monthly	151.7017647	-50052834.85	127.3748529	Urban
Andhra Pradesh	 30-04-2037	Monthly	152.1921569	-50238594.17	127.6841176	Urban
Andhra Pradesh	 31-05-2037	Monthly	152.682549	-50424353.49	127.9933824	Urban
Andhra Pradesh	 30-06-2037	Monthly	153.1729412	-50610112.81	128.3026471	Urban
Assam	 31-05-2036	Monthly	153.6633333	-50795872.13	128.6119118	Urban
Assam	 30-06-2036	Monthly	154.1537255	-50981631.45	128.9211765	Urban
Assam	 31-07-2036	Monthly	154.6441176	-51167390.77	129.2304412	Urban
Andhra Pradesh	 31-05-2037	Monthly	155.1345098	-51353150.09	129.5397059	Urban
Andhra Pradesh	 30-06-2037	Monthly	155.624902	-51538909.41	129.8489706	Urban
Andhra Pradesh	 31-07-2037	Monthly	156.1152941	-51724668.74	130.1582353	Urban
Andhra Pradesh	 31-08-2037	Monthly	156.6056863	-51910428.06	130.4675	Urban
Andhra Pradesh	 30-09-2037	Monthly	157.0960784	-52096187.38	130.7767647	Urban
Andhra Pradesh	 31-10-2037	Monthly	157.5864706	-52281946.7	131.0860294	Urban
Andhra Pradesh	 30-11-2037	Monthly	158.0768627	-52467706.02	131.3952941	Urban
Andhra Pradesh	 31-12-2037	Monthly	158.5672549	-52653465.34	131.7045588	Urban
Andhra Pradesh	 31-01-2038	Monthly	159.0576471	-52839224.66	132.0138235	Urban
Andhra Pradesh	 29-02-2038	Monthly	159.5480392	-53024983.98	132.3230882	Urban
Andhra Pradesh	 31-03-2038	Monthly	160.0384314	-53210743.3	132.6323529	Urban
Andhra Pradesh	 30-04-2038	Monthly	160.5288235	-53396502.63	132.9416176	Urban
Andhra Pradesh	 31-05-2038	Monthly	161.0192157	-53582261.95	133.2508824	Urban
Andhra Pradesh	 30-06-2038	Monthly	161.5096078	-53768021.27	133.5601471	Urban
Assam	 31-05-2037	Monthly	162	-53953780.59	133.8694118	Urban
Assam	 30-06-2037	Monthly	162.4903922	-54139539.91	134.1786765	Urban
Assam	 31-07-2037	Monthly	162.9807843	-54325299.23	134.4879412	Urban
Andhra Pradesh	 31-05-2038	Monthly	163.4711765	-54511058.55	134.7972059	Urban
Andhra Pradesh	 30-06-2038	Monthly	163.9615686	-54696817.87	135.1064706	Urban
Andhra Pradesh	 31-07-2038	Monthly	164.4519608	-54882577.19	135.4157353	Urban
Andhra Pradesh	 31-08-2038	Monthly	164.9423529	-55068336.51	135.725	Urban
Andhra Pradesh	 30-09-2038	Monthly	165.4327451	-55254095.84	136.0342647	Urban
Andhra Pradesh	 31-10-2038	Monthly	165.9231373	-55439855.16	136.3435294	Urban
Andhra Pradesh	 30-11-2038	Monthly	166.4135294	-55625614.48	136.6527941	Urban
